timestamp,total_memory
1756710000,298295
1756710006,494759
1756710012,671199
1756710018,697460
1756710024,726502
1756710030,764586
1756710036,795129
1756710042,811848
1756710048,828506
1756710054,845095
1756710060,840265
1756710066,820443
1756710072,816490
1756710078,819148
1756710084,799338
1756710090,774714
1756710096,822154
1756710102,873136
1756710108,908708
1756710114,929605
1756710120,882021
1756710126,846886
1756710132,841631
1756710138,830687
1756710144,811614
1756710150,815479
1756710156,839734
1756710162,871020
1756710168,906142
1756710174,943971
1756710180,982633
1756710186,948874
1756710192,905459
1756710198,898226
1756710204,889318
1756710210,867854
1756710216,858306
1756710222,887488
1756710228,916629
1756710234,945694
1756710240,959340
1756710246,955640
1756710252,946739
1756710258,934198
1756710264,910969
1756710270,883286
1756710276,909861
1756710282,948062
1756710288,969795
1756710294,990617
1756710300,1013327
1756710306,1033629
1756710312,1042694
1756710318,1046792
1756710324,1038969
1756710330,1026580
1756710336,1007669
1756710342,1007040
1756710348,1022661
1756710354,1026553
1756710360,1024048
1756710366,1002190
1756710372,974378
1756710378,963038
1756710384,953894
1756710390,926267
1756710396,902811
1756710402,910642
1756710408,929813
1756710414,985838
1756710420,1022498
1756710426,1023653
1756710432,1033429
1756710438,1052903
1756710444,1059872
1756710450,1058089
1756710456,1052950
1756710462,1046411
1756710468,1012808
1756710474,973407
1756710480,1003535
1756710486,1038538
1756710492,1082005
1756710498,1113257
1756710504,1087508
1756710510,1062017
1756710516,1037144
1756710522,1028395
1756710528,1042679
1756710534,1063756
1756710540,1090871
1756710546,1102203
1756710552,1104927
1756710558,1125123
1756710564,1150696
1756710570,1112295
1756710576,1065364
1756710582,1058594
1756710588,1051007
1756710594,1037286
1756710600,1039796
1756710606,1095057
1756710612,1126501
1756710618,1114279
1756710624,1119244
1756710630,1143543
1756710636,1148000
1756710642,1138567
1756710648,1133401
1756710654,1130012
1756710660,1149401
1756710666,1173670
1756710672,1141660
1756710678,1110400
1756710684,1147434
1756710690,1172966
1756710696,1144817
1756710702,1118422
1756710708,1096232
1756710714,1082170
1756710720,1079718
1756710726,1089597
1756710732,1110436
1756710738,1136525
1756710744,1165478
1756710750,1191219
1756710756,1215972
1756710762,1160050
1756710768,1093371
1756710774,1098281
1756710780,1105714
1756710786,1132069
1756710792,1138443
1756710798,1079885
1756710804,1058502
1756710810,1105276
1756710816,1148847
1756710822,1188816
1756710828,1192610
1756710834,1171082
1756710840,1156644
1756710846,1145160
1756710852,1139737
1756710858,1135613
1756710864,1190226
1756710870,1244061
1756710876,1226700
1756710882,1215538
1756710888,1233306
1756710894,1238778
1756710900,1214739
1756710906,1203592
1756710912,1210861
1756710918,1187047
1756710924,1135603
1756710930,1134150
1756710936,1159964
1756710942,1205738
1756710948,1257652
1756710954,1252670
1756710960,1240102
