timestamp,total_memory
1756710000,213989
1756710006,305437
1756710012,396885
1756710018,488332
1756710024,579780
1756710030,671228
1756710036,656243
1756710042,641258
1756710048,626272
1756710054,611287
1756710060,596302
1756710066,595227
1756710072,594153
1756710078,593078
1756710084,592004
1756710090,590929
1756710096,591111
1756710102,591292
1756710108,591474
1756710114,591655
1756710120,591837
1756710126,591659
1756710132,591481
1756710138,591304
1756710144,591126
1756710150,590948
1756710156,590901
1756710162,590854
1756710168,590806
1756710174,590759
1756710180,590712
1756710186,591073
1756710192,591434
1756710198,591796
1756710204,592157
1756710210,592518
1756710216,592636
1756710222,592754
1756710228,592873
1756710234,592991
1756710240,593109
1756710246,598002
1756710252,602894
1756710258,607787
1756710264,612679
1756710270,617572
1756710276,612621
1756710282,607670
1756710288,602718
1756710294,597767
1756710300,592816
1756710306,592965
1756710312,593114
1756710318,593263
1756710324,593412
1756710330,593561
1756710336,593533
1756710342,593505
1756710348,593477
1756710354,593449
1756710360,593421
1756710366,593114
1756710372,592807
1756710378,592499
1756710384,592192
1756710390,591885
1756710396,591980
1756710402,592075
1756710408,592170
1756710414,592265
1756710420,592360
1756710426,592918
1756710432,593476
1756710438,594033
1756710444,594591
1756710450,595149
1756710456,599968
1756710462,604787
1756710468,609607
1756710474,614426
1756710480,619245
1756710486,614222
1756710492,609199
1756710498,604177
1756710504,599154
1756710510,594131
1756710516,600811
1756710522,607491
1756710528,614171
1756710534,620851
1756710540,627531
1756710546,622833
1756710552,618136
1756710558,613438
1756710564,608741
1756710570,604043
1756710576,603689
1756710582,603336
1756710588,602982
1756710594,602629
1756710600,602275
1756710606,607834
1756710612,613392
1756710618,618951
1756710624,624509
1756710630,630068
1756710636,625240
1756710642,620412
1756710648,615584
1756710654,610756
1756710660,605928
1756710666,610775
1756710672,615622
1756710678,620470
1756710684,625317
1756710690,630164
1756710696,625303
1756710702,620442
1756710708,615582
1756710714,610721
1756710720,605860
