timestamp,total_memory
1765785600,88031
1765785606,216412
1765785612,344793
1765785618,473174
1765785624,601555
1765785630,729936
1765785636,713050
1765785642,696163
1765785648,679277
1765785654,662390
1765785660,645504
1765785666,651002
1765785672,656500
1765785678,661999
1765785684,667497
1765785690,672995
1765785696,678199
1765785702,683404
1765785708,688608
1765785714,693813
1765785720,699017
1765785726,703815
1765785732,708614
1765785738,713412
1765785744,718211
1765785750,723009
1765785756,728607
1765785762,734205
1765785768,739803
1765785774,745401
1765785780,750999
1765785786,744523
1765785792,738047
1765785798,731571
1765785804,725095
1765785810,718619
1765785816,716206
1765785822,713793
1765785828,711381
1765785834,708968
1765785840,706555
1765785846,707085
1765785852,707616
1765785858,708146
1765785864,708677
1765785870,709207
1765785876,715128
1765785882,721049
1765785888,726969
1765785894,732890
1765785900,738811
1765785906,739064
1765785912,739317
1765785918,739570
1765785924,739823
1765785930,740076
1765785936,754180
1765785942,768284
1765785948,782388
1765785954,796492
1765785960,810596
1765785966,816401
1765785972,822206
1765785978,828011
1765785984,833816
1765785990,839621
1765785996,825782
1765786002,811942
1765786008,798103
1765786014,784263
1765786020,770424
1765786026,774281
1765786032,778137
1765786038,781994
1765786044,785850
1765786050,789707
1765786056,795410
1765786062,801113
1765786068,806816
1765786074,812519
1765786080,818222
1765786086,824960
1765786092,831698
1765786098,838436
1765786104,845174
1765786110,851912
1765786116,855421
1765786122,858930
1765786128,862438
1765786134,865947
1765786140,869456
1765786146,874383
1765786152,879310
1765786158,884236
1765786164,889163
1765786170,894090
1765786176,899566
1765786182,905043
1765786188,910519
1765786194,915996
1765786200,921472
1765786206,907931
1765786212,894390
1765786218,880850
1765786224,867309
1765786230,853768
1765786236,852701
1765786242,851634
1765786248,850566
1765786254,849499
1765786260,848432
1765786266,855805
1765786272,863178
1765786278,870550
1765786284,877923
1765786290,885296
1765786296,885602
1765786302,885907
1765786308,886213
1765786314,886518
1765786320,886824
1765786326,897029
1765786332,907234
1765786338,917438
1765786344,927643
1765786350,937848
1765786356,939042
1765786362,940237
1765786368,941431
1765786374,942626
1765786380,943820
