timestamp,total_memory
1765785600,69335
1765785606,199799
1765785612,330262
1765785618,460726
1765785624,591189
1765785630,721653
1765785636,704043
1765785642,686433
1765785648,668823
1765785654,651213
1765785660,633603
1765785666,623664
1765785672,613725
1765785678,603785
1765785684,593846
1765785690,583907
1765785696,584668
1765785702,585428
1765785708,586189
1765785714,586949
1765785720,587710
1765785726,597964
1765785732,608217
1765785738,618471
1765785744,628724
1765785750,638978
1765785756,638256
1765785762,637535
1765785768,636813
1765785774,636092
1765785780,635370
1765785786,634980
1765785792,634591
1765785798,634201
1765785804,633812
1765785810,633422
1765785816,633251
1765785822,633080
1765785828,632908
1765785834,632737
1765785840,632566
1765785846,626446
1765785852,620326
1765785858,614206
1765785864,608086
1765785870,601966
1765785876,609651
1765785882,617336
1765785888,625020
1765785894,632705
1765785900,640390
1765785906,640348
1765785912,640305
1765785918,640263
1765785924,640220
1765785930,640178
1765785936,631744
1765785942,623311
1765785948,614877
1765785954,606444
1765785960,598010
1765785966,598001
1765785972,597993
1765785978,597984
1765785984,597976
1765785990,597967
1765785996,597738
1765786002,597509
1765786008,597281
1765786014,597052
1765786020,596823
1765786026,596852
1765786032,596881
1765786038,596909
1765786044,596938
1765786050,596967
1765786056,600495
1765786062,604023
1765786068,607551
1765786074,611079
1765786080,614607
1765786086,614461
1765786092,614314
1765786098,614168
1765786104,614021
1765786110,613875
1765786116,613756
1765786122,613637
1765786128,613517
1765786134,613398
1765786140,613279
1765786146,613550
1765786152,613821
1765786158,614093
1765786164,614364
1765786170,614635
1765786176,614649
1765786182,614664
1765786188,614678
1765786194,614693
1765786200,614707
1765786206,614535
1765786212,614363
1765786218,614191
1765786224,614019
1765786230,613847
1765786236,613798
1765786242,613749
1765786248,613701
1765786254,613652
1765786260,613603
1765786266,613660
1765786272,613717
1765786278,613773
1765786284,613830
1765786290,613887
1765786296,613531
1765786302,613175
1765786308,612819
1765786314,612463
1765786320,612107
1765786326,612518
1765786332,612929
1765786338,613341
1765786344,613752
1765786350,614163
