timestamp,total_memory
1769932800,74769
1769932806,112199
1769932812,149630
1769932818,187060
1769932824,224491
1769932830,261921
1769932836,283562
1769932842,305204
1769932848,326845
1769932854,348487
1769932860,370128
1769932866,351053
1769932872,331979
1769932878,312904
1769932884,293830
1769932890,274755
1769932896,292606
1769932902,310457
1769932908,328308
1769932914,346159
1769932920,364010
1769932926,364486
1769932932,364962
1769932938,365438
1769932944,365914
1769932950,366390
1769932956,348916
1769932962,331443
1769932968,313969
1769932974,296496
1769932980,279022
1769932986,296666
1769932992,314310
1769932998,331954
1769933004,349598
1769933010,367242
1769933016,368816
1769933022,370390
1769933028,371964
1769933034,373538
1769933040,375112
1769933046,355998
1769933052,336885
1769933058,317771
1769933064,298658
1769933070,279544
1769933076,297282
1769933082,315021
1769933088,332759
1769933094,350498
1769933100,368236
1769933106,350676
1769933112,333116
1769933118,315556
1769933124,297996
1769933130,280436
1769933136,282651
1769933142,284866
1769933148,287082
1769933154,289297
1769933160,291512
1769933166,306108
1769933172,320704
1769933178,335300
1769933184,349896
1769933190,364492
1769933196,348402
1769933202,332313
1769933208,316223
1769933214,300134
1769933220,284044
1769933226,300498
1769933232,316953
1769933238,333407
1769933244,349862
1769933250,366316
1769933256,369148
1769933262,371980
1769933268,374812
1769933274,377644
1769933280,380476
1769933286,361187
1769933292,341898
1769933298,322609
1769933304,303320
1769933310,284031
1769933316,300820
1769933322,317609
1769933328,334398
1769933334,351187
1769933340,367976
1769933346,369550
1769933352,371125
1769933358,372699
1769933364,374274
1769933370,375848
1769933376,357798
1769933382,339749
1769933388,321699
1769933394,303650
1769933400,285600
1769933406,302228
1769933412,318856
1769933418,335484
1769933424,352112
1769933430,368740
1769933436,351166
1769933442,333593
1769933448,316019
1769933454,298446
1769933460,280872
1769933466,283607
1769933472,286342
1769933478,289077
1769933484,291812
1769933490,294547
1769933496,309177
1769933502,323806
1769933508,338436
1769933514,353065
1769933520,367695
1769933526,351899
1769933532,336103
1769933538,320307
1769933544,304511
1769933550,288715
1769933556,304793
1769933562,320871
1769933568,336948
1769933574,353026
1769933580,369104
1769933586,369540
1769933592,369976
1769933598,370412
1769933604,370848
1769933610,371284
1769933616,354854
1769933622,338423
1769933628,321993
1769933634,305562
1769933640,289132
1769933646,305826
1769933652,322519
1769933658,339213
1769933664,355906
1769933670,372600
1769933676,356208
1769933682,339815
1769933688,323423
1769933694,307030
1769933700,290638
1769933706,292297
1769933712,293956
1769933718,295616
1769933724,297275
1769933730,298934
1769933736,313454
1769933742,327974
1769933748,342494
1769933754,357014
1769933760,371534
1769933766,355303
1769933772,339072
1769933778,322840
1769933784,306609
1769933790,290378
1769933796,292473
1769933802,294568
1769933808,296663
1769933814,298758
1769933820,300853
1769933826,315491
1769933832,330130
1769933838,344768
1769933844,359407
1769933850,374045
1769933856,357563
1769933862,341082
1769933868,324600
1769933874,308119
1769933880,291637
1769933886,307367
1769933892,323098
1769933898,338828
1769933904,354559
1769933910,370289
1769933916,370754
1769933922,371220
1769933928,371685
1769933934,372151
1769933940,372616
1769933946,356565
1769933952,340514
1769933958,324462
1769933964,308411
1769933970,292360
1769933976,308306
1769933982,324253
1769933988,340199
1769933994,356146
1769934000,372092
1769934006,356495
1769934012,340898
1769934018,325301
1769934024,309704
1769934030,294107
1769934036,295352
1769934042,296597
1769934048,297841
1769934054,299086
1769934060,300331
1769934066,315685
1769934072,331039
1769934078,346392
1769934084,361746
1769934090,377100
1769934096,360829
1769934102,344558
1769934108,328286
1769934114,312015
1769934120,295744
1769934126,298266
1769934132,300789
1769934138,303311
1769934144,305834
1769934150,308356
1769934156,321725
1769934162,335094
1769934168,348462
1769934174,361831
1769934180,375200
1769934186,358802
1769934192,342403
1769934198,326005
1769934204,309606
1769934210,293208
1769934216,309682
1769934222,326155
1769934228,342629
1769934234,359102
1769934240,375576
1769934246,377191
1769934252,378806
1769934258,380422
1769934264,382037
1769934270,383652
1769934276,366521
1769934282,349390
1769934288,332259
1769934294,315128
1769934300,297997
1769934306,313923
1769934312,329850
1769934318,345776
1769934324,361703
1769934330,377629
1769934336,361976
1769934342,346323
1769934348,330671
1769934354,315018
1769934360,299365
