timestamp,total_memory
1776236400,172317
1776236406,295482
1776236412,418648
1776236418,541813
1776236424,664979
1776236430,788144
1776236436,788838
1776236442,789532
1776236448,790225
1776236454,790919
1776236460,791613
1776236466,793004
1776236472,794394
1776236478,795785
1776236484,797175
1776236490,798566
1776236496,801195
1776236502,803823
1776236508,806452
1776236514,809080
1776236520,811709
1776236526,810641
1776236532,809573
1776236538,808505
1776236544,807437
1776236550,806369
1776236556,806410
1776236562,806452
1776236568,806493
1776236574,806535
1776236580,806576
1776236586,803448
1776236592,800320
1776236598,797192
1776236604,794064
1776236610,790936
1776236616,794195
1776236622,797454
1776236628,800714
1776236634,803973
1776236640,807232
1776236646,812373
1776236652,817514
1776236658,822654
1776236664,827795
1776236670,832936
1776236676,832591
1776236682,832245
1776236688,831900
1776236694,831554
1776236700,831209
1776236706,828406
1776236712,825603
1776236718,822800
1776236724,819997
1776236730,817194
1776236736,817501
1776236742,817808
1776236748,818115
1776236754,818422
1776236760,818729
1776236766,817983
1776236772,817238
1776236778,816492
1776236784,815747
1776236790,815001
1776236796,815850
1776236802,816699
1776236808,817548
1776236814,818397
1776236820,819246
1776236826,813966
1776236832,808686
1776236838,803407
1776236844,798127
1776236850,792847
1776236856,791746
1776236862,790645
1776236868,789544
1776236874,788443
1776236880,787342
1776236886,789985
1776236892,792628
1776236898,795272
1776236904,797915
1776236910,800558
1776236916,801522
1776236922,802486
1776236928,803451
1776236934,804415
1776236940,805379
1776236946,808927
1776236952,812475
1776236958,816023
1776236964,819571
1776236970,823119
1776236976,821751
1776236982,820383
1776236988,819014
1776236994,817646
1776237000,816278
1776237006,813817
1776237012,811356
1776237018,808896
1776237024,806435
1776237030,803974
1776237036,803985
1776237042,803995
1776237048,804006
1776237054,804016
1776237060,804027
1776237066,808431
1776237072,812835
1776237078,817239
1776237084,821643
1776237090,826047
1776237096,823996
1776237102,821946
1776237108,819895
1776237114,817845
1776237120,815794
1776237126,818136
1776237132,820477
1776237138,822819
1776237144,825160
1776237150,827502
1776237156,827383
1776237162,827264
1776237168,827144
1776237174,827025
1776237180,826906
1776237186,828115
1776237192,829324
1776237198,830532
1776237204,831741
1776237210,832950
1776237216,832204
1776237222,831459
1776237228,830713
1776237234,829968
1776237240,829222
1776237246,829196
1776237252,829171
1776237258,829145
1776237264,829120
1776237270,829094
1776237276,829274
1776237282,829454
1776237288,829634
1776237294,829814
1776237300,829994
1776237306,831396
1776237312,832799
1776237318,834201
1776237324,835604
1776237330,837006
1776237336,836349
1776237342,835692
1776237348,835036
1776237354,834379
1776237360,833722
1776237366,822100
1776237372,810479
1776237378,798857
1776237384,787236
1776237390,775614
1776237396,767277
1776237402,758939
1776237408,750602
1776237414,742264
1776237420,733927
1776237426,737740
1776237432,741554
1776237438,745367
1776237444,749181
1776237450,752994
1776237456,750186
1776237462,747378
1776237468,744571
1776237474,741763
1776237480,738955
1776237486,738765
1776237492,738574
1776237498,738384
1776237504,738193
1776237510,738003
1776237516,738105
1776237522,738208
1776237528,738310
1776237534,738413
1776237540,738515
1776237546,740440
1776237552,742365
1776237558,744289
1776237564,746214
1776237570,748139
1776237576,749402
1776237582,750666
1776237588,751929
1776237594,753193
1776237600,754456
1776237606,757245
1776237612,760034
1776237618,762824
1776237624,765613
1776237630,768402
1776237636,767987
1776237642,767572
1776237648,767157
1776237654,766742
1776237660,766327
1776237666,769520
1776237672,772713
1776237678,775905
1776237684,779098
1776237690,782291
1776237696,788365
1776237702,794439
1776237708,800514
1776237714,806588
1776237720,812662
1776237726,806711
1776237732,800760
1776237738,794809
1776237744,788858
1776237750,782907
1776237756,779120
1776237762,775334
1776237768,771547
1776237774,767761
1776237780,763974
1776237786,764142
1776237792,764310
1776237798,764478
1776237804,764646
1776237810,764814
1776237816,766036
1776237822,767259
1776237828,768481
1776237834,769704
1776237840,770926
1776237846,772036
1776237852,773147
1776237858,774257
1776237864,775368
1776237870,776478
1776237876,777124
1776237882,777769
1776237888,778415
1776237894,779060
1776237900,779706
1776237906,779185
1776237912,778665
1776237918,778144
1776237924,777624
1776237930,777103
1776237936,781529
1776237942,785956
1776237948,790382
1776237954,794809
1776237960,799235
1776237966,795413
1776237972,791591
1776237978,787769
1776237984,783947
1776237990,780125
1776237996,782611
1776238002,785098
1776238008,787584
1776238014,790071
1776238020,792557
1776238026,798143
1776238032,803728
1776238038,809314
1776238044,814899
1776238050,820485
1776238056,820626
1776238062,820767
1776238068,820908
1776238074,821049
1776238080,821190
1776238086,816290
1776238092,811390
1776238098,806489
1776238104,801589
1776238110,796689
1776238116,795932
1776238122,795175
1776238128,794419
1776238134,793662
1776238140,792905
1776238146,792945
1776238152,792985
1776238158,793025
1776238164,793065
1776238170,793105
1776238176,795383
1776238182,797660
1776238188,799938
1776238194,802215
1776238200,804493
1776238206,807099
1776238212,809706
1776238218,812312
1776238224,814919
1776238230,817525
1776238236,823803
1776238242,830080
1776238248,836358
1776238254,842635
1776238260,848913
1776238266,844521
1776238272,840129
1776238278,835737
1776238284,831345
1776238290,826953
1776238296,833570
1776238302,840188
1776238308,846805
1776238314,853423
1776238320,860040
1776238326,859693
1776238332,859346
1776238338,858998
1776238344,858651
1776238350,858304
1776238356,858480
1776238362,858657
1776238368,858833
1776238374,859010
1776238380,859186
1776238386,850667
1776238392,842149
1776238398,833630
1776238404,825112
1776238410,816593
1776238416,818085
1776238422,819577
1776238428,821070
1776238434,822562
1776238440,824054
1776238446,831802
1776238452,839550
1776238458,847299
1776238464,855047
1776238470,862795
1776238476,865349
1776238482,867903
1776238488,870456
1776238494,873010
1776238500,875564
1776238506,865715
1776238512,855867
1776238518,846018
1776238524,836170
1776238530,826321
1776238536,831097
1776238542,835872
1776238548,840648
1776238554,845423
1776238560,850199
1776238566,845125
1776238572,840052
1776238578,834978
1776238584,829905
1776238590,824831
1776238596,826475
1776238602,828119
1776238608,829763
1776238614,831407
1776238620,833051
1776238626,833811
1776238632,834571
1776238638,835330
