timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1777222578,420423,47440,138312,80024,4508,134468,0.0
1777222584,698667,32732,299384,82996,5020,260520,216.43286573146293
1777222591,707858,45572,315732,83000,5052,240620,96.71875
1777222597,752898,56472,314048,82984,5268,276136,187.72958186791715
1777222604,758292,41632,328048,82984,5268,282296,126.5457382484884
1777222610,729352,50400,325020,82996,5304,247520,144.3093482160654
1777222617,832866,50296,375168,82992,5308,300940,174.3549648162627
1777222623,784269,46704,357960,82992,5308,273092,80.07897334649556
1777222630,817170,60492,363104,82984,5356,286956,188.8801879404855
1777222636,817890,46692,388952,82984,5044,275932,131.62229457958244
1777222643,845290,58868,383060,82984,4540,297568,136.0330253587576
1777222649,850210,55732,397504,83000,4572,291080,177.86483839373165
1777222656,812662,44948,393072,83000,4396,268916,79.85851837296129
1777222662,874098,61356,409884,82996,4384,297112,190.53703333998803
1777222668,882202,53872,453520,82984,4672,268732,135.34416086620263
1777222675,862226,62168,400048,82984,4552,294036,137.42331288343559
1777222681,901296,62668,431528,82984,4728,300852,183.22529954822235
1777222688,863464,47936,427372,82984,4620,282004,77.81059263634573
1777222694,938600,63936,462392,82988,4624,306072,145.1362641734633
1777222701,922028,52296,453980,82984,4624,309512,123.98523985239854
1777222707,957929,63632,459024,82984,4568,329052,129.82250828944802
1777222714,953601,62460,427360,82984,4568,357500,179.18230298242148
1777222720,898493,55724,423448,82988,4568,313028,89.82620581917594
1777222727,953497,67300,465352,82992,4568,314500,142.90147401086114
1777222733,944681,56480,449388,82996,4568,332428,131.57690817512594
1777222740,945517,68728,449516,82992,3980,321504,126.46370023419205
1777222746,980205,70568,471080,82984,3984,332744,177.12062256809338
1777222753,941425,51312,477268,82992,3892,307104,82.02710665880967
1777222759,959825,71564,485072,82988,3896,297416,144.324217981507
1777222766,956817,59380,479468,82988,4420,311628,145.65560821484993
1777222772,969773,73528,495144,82984,4432,294700,127.21617418351478
1777222779,1023247,77300,523036,82984,4464,316432,149.49891923757124
1777222785,1046219,55396,541184,82984,4428,343184,74.48760491899277
1777222792,1058647,75404,550580,82984,4432,326188,128.27532264372311
1777222798,986743,66860,491860,82984,4432,321464,146.23824451410658
1777222805,965643,71288,491956,82984,4432,295820,107.83501085454905
1777222811,1015479,79484,525496,82996,4432,303872,151.1128314302303
1777222818,1015275,59244,545392,82996,4528,303904,81.25621148876962
1777222824,1063877,80128,557784,82996,4516,319224,132.65862203191904
1777222831,1065397,72592,546816,82992,4396,339344,154.2503863987635
1777222837,1041593,74188,537432,82996,4312,323376,89.13128165173354
1777222844,1071369,83920,551672,82996,4312,329152,177.51847530143914
1777222850,1048917,63908,557728,82996,4312,320624,86.84107770402186
1777222857,1095113,79316,565596,82992,4312,343492,122.567940133911
1777222863,1159125,82380,624312,82992,4924,345084,175.56456282570932
1777222870,1114253,76824,612040,82988,4812,318112,86.76959155755326
1777222876,1128635,88076,587928,82988,4892,345232,172.2576900754498
1777222883,1139411,74344,608936,82988,4868,348724,97.91463652309491
1777222889,1117507,83916,586912,82988,4872,339256,119.46050096339114
1777222896,1128343,86140,617340,82992,4872,317384,143.30708661417322
1777222903,1128815,68788,612576,82996,4872,339952,73.36510962821735
1777222909,1144427,90448,607016,82996,5320,338964,173.7178246564738
1777222916,1177147,81140,651604,83056,5284,336324,122.01282300369147
1777222922,1152119,84592,641644,83056,4988,318108,100.21496970881375
1777222929,1192367,92844,651484,83052,4988,340212,128.1931464174455
1777222935,1168234,72540,649044,83052,4904,338900,66.65362800704088
1777222942,1173454,93652,656784,83056,4820,315332,126.67573343695358
1777222948,1225110,86016,678988,83064,4820,352372,124.45464982778415
1777222955,1189094,84392,665864,83064,4848,331060,78.18253035644341
1777222962,1211802,102640,674960,83064,5500,325708,180.35576179427687
1777222968,1198102,83040,686916,83056,5044,320104,102.65555340182206
1777222975,1217118,91368,684380,83068,4936,333424,124.96599961142414
1777222981,1245622,98940,711924,83056,4936,326788,135.11317469529888
1777222988,1225030,77080,703392,83056,4936,336588,69.46386946386947
1777222994,1242066,97936,716284,83056,4936,319836,130.7108081791626
1777223001,1274762,87132,721984,83068,4936,357600,102.40631163708088
1777223007,1234682,95488,706840,83068,4936,324304,113.27433628318585
1777223014,1281914,102500,744512,83068,4936,326844,149.69040247678018
1777223021,1257166,81948,745224,83056,4448,322416,78.88186865785947
1777223027,1301482,102704,748324,83056,4448,342820,134.40613026819923
