timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1777306832,430690,100104,100048,82080,3560,132160,0.0
1777306838,347899,25268,92352,82144,3544,132416,62.63345195729537
1777306845,346806,24444,92412,82144,3544,132148,60.3237268061587
1777306851,346782,24416,92412,82144,3544,132148,64.95657442940819
1777306857,285158,25288,80888,82088,3544,81592,53.67008681925809
1777306864,282612,24320,79604,82088,3544,81300,6.554756195043964
1777306870,282476,24188,79604,82088,3544,81300,6.023380225876759
1777306877,278036,24192,75156,82088,3544,81300,9.588493807431082
1777306883,367999,26688,105352,82092,3624,138440,35.275080906148865
1777306889,357627,25152,94688,82092,3188,140744,71.26158806932689
1777306896,353971,24436,94328,82092,2772,138696,64.00635298788961
1777306902,355963,24380,94332,82092,2772,140744,67.73162939297124
1777306909,292959,25132,84344,81352,2772,87748,47.06811451135242
1777306915,291967,24228,84260,81352,2772,87748,10.291457286432161
1777306921,292175,24132,84564,81352,2772,87748,9.808186671939884
1777306928,292167,24124,84564,81352,2772,87748,10.324662230288364
1777306934,359344,25700,105344,81360,2776,132448,36.290967226219024
1777306941,345048,24952,93848,81360,2776,130400,67.66008860249698
1777306947,344564,24416,93908,81364,2668,130528,64.05750798722045
1777306954,344500,24352,93908,81364,2668,130528,67.89137380191693
1777306960,294508,25108,83896,81364,2684,89752,40.12036108324975
1777306966,293436,24212,83724,81352,2684,89752,10.321556173084558
1777306973,293348,24124,83724,81352,2684,89752,10.234205864987207
1777306979,293346,24116,83724,81352,2684,89752,9.383215369059657
1777306986,353417,25588,101960,81352,2684,130108,46.51345511687291
1777306992,347457,24932,94484,81352,2684,132284,67.10500099621439
1777306999,344745,24320,94432,81352,2684,130236,64.84328209223398
1777307005,344749,24312,94444,81352,2684,130236,67.18407960199005
1777307011,307293,25068,84712,81352,2700,101732,30.33774442030417
1777307018,306213,24184,84564,81352,2664,101732,10.11641910879165
1777307024,306137,24104,84564,81352,2664,101732,9.134615384615383
1777307031,306125,24096,84564,81352,2664,101732,9.734689806503093
1777307037,372681,25588,104652,81352,2664,146704,54.912947768661205
1777307043,361950,24956,94424,81352,2664,146836,65.66806470940682
1777307050,359262,24316,94424,81352,2664,144788,64.97220015885623
1777307056,359554,24316,94716,81352,2664,144788,67.62132060461417
1777307063,308162,25052,84804,81352,2664,102564,20.921155347384857
1777307069,307106,24184,84620,81352,2664,102564,10.649455425574828
1777307076,307010,24088,84620,81352,2664,102564,9.721115537848606
1777307082,307007,24084,84620,81352,2664,102564,10.088070456365092
1777307088,372094,25596,105396,81352,2664,145352,63.96200277063131
1777307095,360990,24924,94840,81352,2664,145480,64.8049118637354
1777307101,360678,24320,95128,81352,2664,145480,65.99108228617754
1777307108,360671,24312,95128,81352,2664,145480,65.78419574809466
1777307114,308942,25088,84704,81352,2664,103392,15.19588444796201
1777307121,307886,24124,84616,81352,2664,103392,9.62502506516944
1777307127,307874,24108,84616,81352,2664,103392,9.199048374306107
1777307133,363730,25536,111176,81356,2680,131236,18.19645732689211
1777307140,361038,24916,95236,81356,2680,145088,63.6650868878357
1777307146,360334,24340,94980,81356,2684,145216,64.34573829531813
1777307153,358302,24348,94980,81352,2684,143168,65.01092787601827
1777307159,323010,25064,90036,81356,2684,112096,64.01273885350318
1777307165,312721,24232,88936,81352,2684,103740,9.992069785884219
1777307172,312409,24096,88764,81352,2684,103740,10.35808213635444
1777307178,312437,24096,88776,81368,2684,103740,9.470304975922954
1777307185,373189,25544,108460,81368,2684,143356,22.294022617124394
1777307191,359274,24916,95172,81368,2684,143356,63.436123348017624
1777307197,368909,24336,94908,81368,2684,153832,65.20426645200241
1777307204,368910,24332,94912,81368,2684,153832,64.88201467380527
1777307210,317385,25048,89584,81368,2684,106904,57.453228726614356
1777307217,310046,24260,85184,81352,2684,104752,9.734689806503093
1777307223,309701,24100,85000,81352,2684,104752,10.106276318427913
1777307229,310077,24092,85384,81352,2684,104752,10.102224894768492
1777307236,373881,25548,107092,81352,2684,145388,29.415310427968656
1777307242,359286,24932,95164,81352,2684,143340,64.87766377269139
1777307249,369233,24356,95208,81352,2684,153816,65.97277822257807
1777307255,369225,24332,95224,81352,2684,153816,63.67444643925793
1777307261,312721,25084,85616,81352,2684,106160,50.305250305250304
1777307268,312005,24204,85776,81352,2684,106160,10.50292870127247
1777307274,311909,24112,85776,81352,2684,106160,9.801164892548703
1777307281,311893,24096,85776,81352,2684,106160,9.044030146767156
1777307287,373053,25548,106720,81352,2684,144920,36.89828801611279
1777307293,360893,24920,95188,81352,2684,144920,62.467297242906014
1777307300,370842,24344,95236,81352,2684,155396,65.60290850333266
1777307306,370845,24348,95236,81352,2684,155396,63.55813488092855
1777307312,313773,25096,85696,81352,2684,107112,45.88211946814844
1777307319,312697,24208,85512,81352,2684,107112,9.596161535385846
1777307325,312601,24112,85512,81352,2684,107112,9.76390556222489
1777307332,312585,24096,85512,81352,2684,107112,9.235668789808917
1777307338,373529,25564,106008,81352,2704,146060,41.494792730243006
1777307344,362401,24916,95532,81352,2704,146060,64.54728370221328
1777307351,361997,24384,95520,81356,2704,146188,66.47750304012972
1777307357,361945,24336,95520,81356,2704,146188,64.83450351053159
1777307363,318097,25100,89120,81352,2704,107972,39.848575413428975
1777307370,316945,24192,88880,81352,2704,107972,9.761952390478095
1777307376,316873,24120,88880,81352,2704,107972,9.862570735650769
1777307382,316870,24108,88880,81352,2708,107972,9.76390556222489
1777307389,377513,25576,105880,81356,2708,150128,44.86584627799072
1777307395,364321,24940,95376,81356,2708,148080,64.63832359460004
1777307402,374265,24364,95420,81352,2708,158556,64.12761714855434
1777307408,374234,24328,95420,81356,2708,158556,65.38310412573674
1777307415,315999,25108,85840,81260,2708,109188,33.5530257639305
1777307421,314779,24200,85532,81260,2708,109188,9.278553174759189
1777307427,314720,24140,85532,81260,2708,109188,9.88454527040713
1777307434,314766,24096,85532,81356,2708,109188,9.40604094871275
1777307440,376762,25592,105492,81356,2708,149720,52.770448548812666
1777307447,366117,24980,95336,81356,2708,149848,65.0137741046832
1777307453,365461,24324,95336,81356,2708,149848,67.66407340913625
1777307459,365391,24344,95336,81260,2708,149848,63.69986030732389
1777307466,320239,25100,89284,81260,2708,109988,26.418825390547756
1777307472,319111,24204,89096,81260,2676,109988,9.627145393568751
1777307479,319031,24120,89096,81260,2676,109988,10.165389269866882
1777307485,315927,24096,86020,81260,2676,109988,9.398645957785742
1777307491,389163,25592,107668,81260,2696,160044,61.66263115415658
1777307498,378391,24948,95496,81260,2696,162092,63.4996993385448
1777307504,375735,24328,95508,81260,2696,160044,65.66083283041641
