timestamp,total_memory,java_heap,native_heap,code,stack,graphics,cpu_usage
1782537040,386001,33944,114016,89048,3136,130388,0.0
1782537046,535913,37292,198844,90940,3168,187972,95.95735228787206
1782537052,810269,24252,371888,91996,3244,300436,267.0866141732283
1782537058,752837,41220,380644,92372,3288,216560,178.058690744921
1782537063,636935,50524,338488,92340,3292,133876,72.35372934345689
1782537069,596081,24052,324288,92200,3292,133876,9.00463473846833
1782537075,596228,23956,324536,92200,3292,133876,8.770006577504933
1782537081,690519,25348,357932,92456,3316,193152,62.3950508174989
1782537087,728313,47620,378672,92752,3508,186868,140.9928463039237
1782537093,746566,32636,386568,92852,3712,211344,148.3106625713032
1782537098,737923,32128,380016,92852,3632,209756,94.64639788499669
1782537104,738183,30728,383860,92856,3644,207528,94.83814523184601
1782537110,733231,29816,380020,92860,3660,207280,76.9867189200958
1782537116,735303,29884,382660,92868,3672,206604,81.78470868529348
1782537122,735319,30372,382348,92868,3636,206472,79.00599828620393
1782537128,732743,30044,380084,92868,3608,206516,76.94289394589953
1782537134,738471,29832,379888,92868,3608,212640,75.55651610114545
1782537140,747911,30556,382824,92852,3588,218432,76.8695652173913
1782537145,745359,29856,383056,92856,3588,216304,75.78040904198062
1782537151,751119,30784,387720,92856,3588,216432,97.38675958188153
1782537157,748235,30320,386192,92860,3508,215636,78.3301054443727
1782537163,745375,29836,383160,92860,3508,216288,77.24983577841033
1782537169,749063,29696,387100,92860,3508,216160,81.37660640383359
1782537174,750623,30268,388216,92860,3508,216028,79.51070336391437
1782537180,763495,30180,388324,92860,3508,228860,81.25133919005786
1782537186,761887,30612,389168,92860,3508,225980,80.76422058184977
1782537192,761447,29480,390100,92852,3508,225720,68.52097130242825
1782537198,759407,29460,388060,92852,3512,225720,70.6792777300086
1782537204,760975,29272,389792,92868,3512,225716,69.95397764628534
1782537209,765351,29708,389884,92868,3528,229536,78.41059602649007
1782537215,767611,29132,393252,92872,3528,228996,91.22346246443423
1782537221,764783,30528,393640,92872,3528,224384,78.32650420530516
1782537227,764927,29952,394000,92872,3584,224640,84.6286701208981
1782537233,763067,30920,391292,92872,3584,224512,66.21768411905279
1782537239,762879,30500,391268,92872,3584,224768,61.324647122692724
1782537244,767875,31180,391444,92856,3600,228864,66.18892508143323
1782537250,767195,30392,391632,92856,3604,228736,60.216919739696316
1782537256,761967,29804,391344,92856,3604,224380,60.060579835569015
1782537262,776759,44036,391756,92856,3604,224508,65.03360069369174
1782537268,776631,44012,391776,92856,3604,224380,63.42093925032314
1782537274,769095,31788,391968,92856,3604,228864,59.06394199077126
1782537279,764442,31528,391904,92856,3604,224508,72.8395061728395
1782537285,763954,30668,392168,92868,3664,224512,71.55322862129145
1782537291,783162,33604,399340,92868,3716,233544,89.72129319955407
1782537297,778218,30292,397560,92868,3728,233676,73.79679144385027
1782537303,795582,31472,401388,92868,3764,245988,96.71484888304862
1782537308,802598,30280,402344,92868,3768,253236,91.024241100677
1782537314,758442,31596,396984,92868,3772,213116,93.87131952017448
1782537320,758538,30768,397220,92868,3744,213832,91.69753758988887
1782537326,752974,29052,393236,92868,3744,213964,73.60350492880613
1782537332,753118,29096,393316,92872,3744,213968,72.01394943330428
1782537337,753338,28776,393992,92856,3744,213836,88.52173913043478
1782537343,755862,29192,396232,92864,3712,213708,75.14575685597063
1782537349,754190,29440,394180,92864,3712,213836,73.56521739130434
1782537355,772350,30932,394584,92864,3712,230092,83.96349413298566
1782537361,761046,31820,398368,92864,3716,214100,88.50325379609545
1782537366,777838,31076,395664,92864,3720,234332,77.49782797567333
1782537372,780514,30876,398408,92864,3720,234460,89.60557855741992
1782537378,758858,30412,397688,92864,3720,213984,79.109364767518
1782537384,778310,30572,396732,92864,3744,234204,82.46527777777779
1782537390,760434,31404,398112,92864,3744,214112,84.76478204574882
1782537396,758738,30752,397064,92868,3744,214112,87.15083798882681
1782537401,781218,31524,398148,92860,3744,234720,92.11908931698774
1782537407,759078,30552,397964,92856,3744,213720,86.1646234676007
1782537413,758486,30400,397392,92856,3744,213852,74.35456110154905
1782537419,780394,30968,397864,92856,3744,234720,81.79419525065963
1782537425,759974,31040,397844,92856,3744,214240,85.6401384083045
1782537430,759006,30504,397536,92856,3744,214112,76.46932185145317
1782537436,758502,30104,397308,92856,3744,214240,82.53831210878481
1782537442,759874,30852,398084,92856,3720,214108,84.59730826746423
1782537448,780090,30524,398148,92856,3720,234588,76.13213738788012
1782537454,759198,30804,397444,92856,3720,214112,78.15587266739847
1782537460,780358,30884,397912,92856,3720,234720,94.26034221355859
1782537465,768474,30888,398028,92856,3720,222712,92.09383145091226
1782537471,769838,31688,398592,92856,3720,222712,91.62156310889803
1782537477,767110,30108,397680,92860,3724,222452,74.81641468682506
1782537483,790494,31564,399044,92868,3784,242932,76.59939888364104
1782537489,789810,31092,398696,92868,3784,243064,80.03487358326068
1782537495,771750,32024,400048,92868,3784,222712,91.82608695652173
1782537500,788310,30384,397768,92868,3784,243188,87.11842390127732
1782537506,788438,30148,398264,92868,3784,243060,73.32897888090572
1782537512,769074,30676,398852,92868,3784,222580,83.29004329004329
1782537518,780454,30996,401216,92868,3756,231308,82.38623993032877
1782537524,796838,29088,398900,92868,3756,251916,75.30647985989492
1782537529,777990,29476,400140,92868,3756,231436,81.07638888888889
1782537535,776018,29004,398768,92868,3756,231308,78.65459249676586
1782537541,777246,29120,400168,92868,3724,231048,75.61667758131414
1782537547,777882,29244,400664,92868,3724,231048,73.58738501971091
1782537553,780534,30496,401932,92860,3724,231180,74.98920086393088
1782537559,799138,29524,400872,92868,3724,251792,75.5756401979772
1782537565,779750,29528,401828,92868,3724,231440,76.46544181977252
1782537570,798810,29156,400904,92868,3724,251788,75.0054007344999
1782537576,797735,29572,420016,92868,3724,231184,85.81497797356829
1782537582,780403,29456,402672,92868,3724,231308,77.94601711652402
1782537588,780391,29588,402528,92868,3724,231308,75.35241349850492
1782537594,782059,30348,403560,92868,3724,231180,76.40645442651548
1782537599,791159,29900,404324,92868,3776,239908,73.93489185055714
1782537605,789487,30080,402724,92868,3776,239652,72.49246663796815
1782537611,811727,30900,403528,92868,3776,260260,70.94017094017094
1782537617,789631,30328,402620,92868,3776,239648,69.79982593559617
1782537623,788916,29872,402360,92868,3776,239652,71.35828877005348
1782537629,790443,30356,403056,92868,3720,240036,70.1174423662462
1782537635,811299,31064,402840,92868,3720,260388,72.35052881502267
1782537640,804292,35972,410076,92868,3780,241180,129.64084811769797
1782537646,795603,30204,406468,92868,3780,241852,84.82728465238304
1782537652,798083,31716,407680,92868,3780,241576,98.6013986013986
1782537658,814279,29136,406392,92868,3780,261636,63.68593238822247
1782537664,819191,29752,430280,92868,3832,241976,94.99335400974745
1782537669,803095,33360,410488,92860,3860,242024,110.9272964736613
1782537675,798867,29768,409848,92856,3860,242024,74.20695690220958
1782537681,798511,29668,410560,92864,3860,241040,67.75244299674267
1782537687,798563,30376,409836,92856,3896,241040,66.94054054054054
1782537693,797399,29816,409632,92856,3896,240640,62.87683031869078
1782537699,797395,29824,409232,92856,3896,241024,60.45602605863192
1782537705,798571,30600,410612,92856,3896,240040,73.79491673970202
1782537710,798091,29440,409236,92856,3896,242092,65.22024983563445
1782537716,795727,29536,409088,92856,3896,239780,69.2982456140351
1782537722,796351,30148,408996,92856,3868,239912,66.02953953084274
1782537728,797743,30168,410244,92856,3868,240036,60.83976006855184
1782537734,795831,29600,408936,92856,3836,240040,59.57263112454133
1782537739,795555,29520,408744,92856,3836,240036,58.41820151679307
1782537745,795839,29568,409356,92856,3632,239908,72.69511386248065
1782537751,830339,30228,420676,92856,3632,262424,86.87224669603523
1782537757,806975,33444,414368,92856,3816,241944,94.28382255572721
1782537763,802187,31176,412572,92856,3844,241120,71.55040454843648
1782537768,799727,29564,412104,92856,3844,240720,80.9106830122592
1782537774,799175,29540,412512,92856,3848,239780,79.36027663712989
1782537780,797931,29116,411688,92856,3848,239784,70.98858496661641
1782537786,818831,29340,411884,92856,3848,260264,65.23530687486445
1782537792,818811,29428,411944,92856,3820,260132,66.1588683351469
1782537798,798951,29552,412180,92856,3820,239908,63.97919375812744
1782537803,798835,29564,412048,92856,3820,239912,62.7147766323024
1782537809,797903,28984,411824,92856,3820,239784,65.52481335090032
1782537815,799207,30004,412144,92856,3788,239776,72.34782608695653
1782537821,799099,29948,412212,92856,3788,239652,67.79074794638997
1782537827,798495,29616,411936,92860,3788,239652,65.96157996978201
1782537833,799823,30012,412480,92856,3788,240040,66.17455492835433
1782537839,819567,29724,412164,92856,3788,260388,66.98564593301435
1782537844,819655,29744,412228,92860,3788,260388,63.130881094952954
1782537850,798511,29172,412128,92856,3788,239912,64.78082487583676
1782537856,799291,29700,412376,92856,3788,239912,61.44552319309601
1782537862,798311,29472,411752,92856,3788,239784,59.86870897155361
1782537868,818707,29336,411672,92860,3788,260392,57.316543638732085
1782537874,807339,29396,420716,92864,3788,239912,78.24561403508771
1782537879,820663,29492,413184,92868,3792,260648,56.247279059643006
1782537885,800155,29732,413112,92868,3852,239912,62.045060658578855
1782537891,799759,30256,412852,92868,3856,239912,73.38814366075293
1782537897,810423,32364,419324,92868,3892,241928,106.46853146853145
1782537903,827863,32664,415980,92868,3892,262408,79.3230635712736
1782537909,802231,29812,414752,92868,3892,240852,66.68117519042437
1782537914,801047,29360,414024,92868,3892,240848,60.90928866652165
1782537920,800323,29424,414040,92868,3892,240040,55.85392051557465
1782537926,799955,29204,414020,92868,3892,239908,56.30344222758167
1782537932,800479,29504,414132,92868,3864,239912,56.6645202833226
1782537938,821847,29796,414724,92868,3864,260392,61.697990926766046
1782537944,821359,29560,414468,92868,3868,260388,75.90859630032644
1782537950,813283,31372,422780,92860,3900,242120,115.35940572427354
1782537955,811335,32304,419868,92860,3900,242152,89.98914223669924
1782537961,806143,29240,418164,92860,3868,241764,69.29958542439451
1782537967,805427,29016,417740,92860,3868,241696,67.44690073688774
1782537973,805047,29280,417224,92860,3868,241568,64.78995236032915
1782537979,805303,29636,417812,92860,3868,240876,68.0589140470433
1782537984,804411,29016,417416,92860,3864,241008,71.42552738120605
1782537990,806267,30104,418284,92864,3864,240904,69.63316691990448
1782537996,805779,29596,418472,92860,3864,240732,67.15454154111063
1782538002,804055,29012,418000,92860,3864,240064,64.907306434024
1782538008,803915,29396,417756,92860,3864,239780,63.288432756040194
1782538014,804167,29268,418216,92860,3808,239780,64.71095772217429
1782538020,804179,29324,418036,92860,3808,239912,56.66016894087069
1782538026,804895,29980,417964,92860,3812,240040,62.69430051813472
1782538031,803935,29336,417784,92860,3812,239908,62.12416179969716
1782538037,804151,29416,417788,92860,3816,240036,59.059233449477354
1782538043,804267,29316,418128,92860,3816,239908,56.470588235294116
1782538049,803895,29284,417808,92860,3792,239912,53.23868677905945
1782538055,804927,29508,418620,92860,3792,239908,56.342881757484385
1782538061,805351,29800,418612,92860,3792,240040,72.25130890052355
1782538067,837375,33812,424192,92860,3852,262408,112.30802509193165
1782538072,810187,29248,422036,92860,3856,241928,67.1875
1782538078,808295,28892,421696,92872,3856,240720,67.75580395528806
1782538084,809919,30076,422112,92872,3856,240724,63.56116673922507
1782538090,809171,29732,422524,92872,3856,239908,66.76756756756757
1782538096,807791,29268,421608,92872,3856,239908,64.26400347372991
1782538102,807719,29048,421752,92872,3856,239908,62.6359286646368
1782538107,807383,28816,421648,92872,3856,239908,63.7276298559581
1782538113,808671,29468,422148,92872,3856,240040,62.6649638143891
1782538119,807347,28772,421676,92872,3828,239912,61.724137931034484
1782538125,807199,28972,421460,92872,3828,239780,57.856220404649164
1782538131,807667,29216,421652,92872,3756,239912,62.45417295665301
1782538137,808307,29832,421784,92872,3668,239908,58.31356480483071
1782538143,828803,29852,421840,92872,3520,260520,58.23284367463275
1782538148,808111,29584,421896,92872,3520,240040,53.645833333333336
1782538154,807675,29176,422120,92872,3520,239784,58.62516212710766
1782538160,807851,29728,421756,92872,3520,239780,54.402789886660855
1782538166,809435,29960,422848,92872,3520,240036,62.42476354256233
1782538172,818827,31664,428156,92872,3832,241976,81.8375159506593
1782538178,820407,32468,428896,92872,3856,241976,92.02914550673438
1782538184,813863,29400,426764,92872,3860,240628,67.63948497854078
1782538189,813559,29268,426336,92872,3860,240884,61.37704918032787
1782538195,812663,29176,426468,92872,3864,239944,61.68466522678185
1782538201,815259,31016,427308,92872,3872,239848,64.86021505376344
1782538207,812695,28960,426708,92856,3844,239976,62.19698624153745
1782538213,813607,29440,427156,92872,3844,239940,61.56499245527053
1782538219,812619,28892,426716,92872,3844,239944,63.725910064239834
1782538225,812452,28952,426484,92872,3844,239944,66.04871739599052
1782538230,813144,29224,426908,92872,3844,239940,62.47288503253796
1782538236,816196,28920,426528,92872,3744,243788,66.53465346534654
1782538242,833824,29624,426980,92872,3724,260292,70.71240105540898
1782538248,813332,29748,426704,92872,3724,239940,66.22001296736546
1782538254,813732,29940,426780,92872,3724,240072,55.789702368020855
1782538260,813220,29380,426704,92872,3724,240200,58.67589787970575
1782538265,833892,29652,426872,92872,3728,260420,56.44171779141104
1782538271,813876,29812,427044,92872,3732,240072,59.49119373776908
1782538277,814120,30168,427008,92872,3780,239944,70.37358818418767
1782538283,829276,34364,435784,92872,3848,242056,130.03472222222223
1782538289,829116,32552,435360,92872,3872,244104,74.8588797221016
1782538295,849140,30972,435368,92876,3876,265688,78.23233428133888
1782538301,827000,30092,434460,92872,3876,245332,72.12687377797089
1782538306,847488,30172,434792,92872,3876,265412,72.99651567944251
1782538312,826148,30148,434208,92872,3876,244676,72.45873153779321
1782538318,835372,30876,427180,92872,3848,260236,80.1901058543962
1782538324,808588,30960,424280,92872,3848,236264,81.84187662901824
1782538330,807408,30180,423752,92872,3848,236392,73.34200260078023
1782538335,807292,30092,423736,92856,3724,236520,69.14660831509846
1782538341,806952,29824,423860,92860,3668,236392,70.41101786098558
1782538347,797892,29900,423792,92856,3612,227376,72.932005197055
1782538353,800056,31108,424468,92872,3612,227636,73.92055267702936
1782538359,798748,30468,423512,92872,3612,227924,71.11874597380287
1782538365,819316,30432,423632,92872,3616,248404,72.42869490060502
1782538370,883804,56216,454324,92872,3616,256400,86.94127957931639
1782538376,818932,32776,436104,92872,3616,233192,83.53552859618716
1782538382,820440,33820,436700,92872,3616,233068,83.36951801997394
1782538388,835860,30300,434904,92872,3616,253804,85.0150279089738
1782538394,840492,31596,438368,92872,3616,253676,94.82383645063071
1782538400,840136,29904,438596,92872,3616,254784,93.13276651406149
1782538405,843028,29028,439488,92872,3616,257660,106.37362637362638
1782538411,847104,29500,441428,92872,3616,259324,88.58250753985352
1782538417,830128,31456,440408,92872,3616,241408,81.84991273996509
1782538423,849268,30560,439704,92872,3616,262148,89.75093674234076
1782538429,830784,30484,441004,92872,3616,242436,87.73072747014115
1782538434,834332,30060,442292,92872,3616,245120,88.23273990447242
1782538440,841088,33656,444240,92872,3616,246320,91.24759255296382
1782538446,835988,30116,442808,92872,3616,246192,79.37336814621409
1782538452,855180,29732,442032,92872,3616,266544,76.84301821335646
1782538458,834304,29356,441756,92872,3616,246320,78.98034132642039
1782538464,839452,31744,442944,92872,3620,247884,85.58461205964988
1782538470,838204,29436,443748,92872,3620,248144,79.00153273483687
1782538475,857048,28580,443204,92872,3644,268364,78.05716741886954
1782538481,835512,28340,442256,92872,3644,248012,77.81420765027323
1782538487,836328,28956,442664,92876,3704,247740,76.3542562338779
1782538493,836144,28896,442780,92872,3704,247472,76.05817234642934
1782538499,835884,28896,442644,92872,3704,247348,75.79313342025206
1782538505,835544,28580,442364,92872,3704,247604,73.54726799653079
1782538510,836088,28776,442712,92872,3704,247600,74.65277777777779
1782538516,837372,28264,442580,92872,3704,249528,74.3513398553807
1782538522,835228,28544,442368,92872,3676,247348,76.15780445969125
1782538528,835860,28536,443012,92872,3676,247344,92.72609540254695
1782538534,837000,29032,443552,92872,3652,247472,75.80047919843172
1782538540,835880,28540,443084,92872,3528,247472,77.51596564633341
1782538545,836644,28820,443420,92872,3536,247604,77.59775329444804
1782538551,856532,28620,443284,92872,3540,267824,73.14185485639115
1782538557,837112,29236,443584,92872,3548,247468,73.58897027143473
1782538563,857396,28828,443636,92872,3548,268084,76.8153980752406
1782538569,837144,28784,443912,92872,3548,247600,73.87308533916848
1782538574,836556,28508,443600,92872,3548,247600,74.89869908296012
1782538580,836268,28564,443256,92872,3548,247600,73.95833333333334
1782538586,837212,28684,444340,92872,3548,247340,74.89658175484433
1782538592,837956,29316,444320,92872,3548,247472,72.12417605783543
1782538598,857492,28816,444004,92872,3548,267824,74.91926803013995
1782538604,838100,28896,445144,92872,3548,247212,77.43589743589745
1782538610,752312,28692,354472,92872,3548,252300,85.68920105355575
1782538615,742264,28664,352928,92872,3548,243824,78.90314020344981
1782538621,722996,29492,353052,92872,3548,223604,78.38014369693012
1782538627,731768,29156,353944,92872,3548,231820,76.98961937716263
1782538633,731520,29520,353204,92872,3548,231948,76.48848326814428
1782538639,730224,28768,352496,92872,3548,232108,76.28955353272649
1782538644,736420,28688,358900,92872,3548,231980,80.10425716768029
1782538650,731236,28700,353740,92872,3548,232108,85.34726758110168
1782538656,730096,28756,352668,92872,3552,231980,77.93894782420438
1782538662,742096,36920,356160,92876,3552,232316,80.3156510302499
1782538668,731480,30016,352300,92872,3552,232444,79.09604519774011
1782538674,730300,29340,351800,92872,3552,232444,72.28391029827999
1782538679,733516,31024,353460,92872,3552,232316,71.1651117379041
1782538685,731268,29788,352348,92872,3644,232316,70.12367107832502
1782538691,731112,29544,352556,92872,3644,232188,69.9434536755111
1782538697,750944,29464,351864,92872,3644,252792,66.75381263616558
1782538703,739920,29760,352376,92872,3644,240788,69.64828484585324
1782538708,741956,30020,354152,92872,3644,240788,69.8206956146036
1782538714,739932,29120,353032,92872,3644,240788,63.472527472527474
1782538720,760276,29128,353052,92872,3620,261136,59.8357111975789
1782538726,740032,29316,353092,92872,3620,240660,63.63042057093049
1782538732,740120,29060,353312,92872,3620,240784,60.45907319185795
1782538738,740184,29380,353184,92872,3620,240660,61.866212185769065
1782538744,740188,29152,353364,92872,3556,240788,59.69638657258927
1782538749,740024,28980,353492,92872,3556,240660,58.61695209191416
1782538755,740052,28932,353568,92872,3556,240660,60.825868472798774
1782538761,773784,42084,353668,92872,3556,261140,63.08928959374322
1782538767,760264,41976,360736,92872,3556,240660,73.08769661710838
1782538773,741468,29416,354360,92872,3556,240788,50.64622124863089
1782538778,741224,29480,354196,92872,3448,240788,52.23125961749835
1782538784,739820,29000,353400,92872,3448,240660,51.93681021423934
